,citax_2020,Net_accounting_profit_2020,citax_ref_2020,Net_accounting_profit_ref_2020,citax_ref_2021,Net_accounting_profit_ref_2021,citax_ref_2022,Net_accounting_profit_ref_2022,citax_ref_2023,Net_accounting_profit_ref_2023,citax_ref_2024,Net_accounting_profit_ref_2024,citax_ref_2025,Net_accounting_profit_ref_2025,ETR,ETR_ref
0,"4,322,060.5051","-598,155,382.7692","4,322,060.5051","-598,155,382.7692","4,322,060.5051","-598,155,382.7692","5,487,262.2140","-598,155,382.7692","5,487,262.2140","-598,155,382.7692","5,487,262.2140","-598,155,382.7692","5,487,262.2140","-598,155,382.7692",-0.0072,-0.0072
1,0.0000,"-161,651,307.2564",0.0000,"-161,651,307.2564",0.0000,"-161,651,307.2564",0.0000,"-161,651,307.2564",0.0000,"-161,651,307.2564",0.0000,"-161,651,307.2564",0.0000,"-161,651,307.2564",-0.0000,-0.0000
2,"252,988.5677","-87,578,810.3000","252,988.5677","-87,578,810.3000","252,988.5677","-87,578,810.3000","337,318.0903","-87,578,810.3000","337,318.0903","-87,578,810.3000","337,318.0903","-87,578,810.3000","337,318.0903","-87,578,810.3000",-0.0029,-0.0029
3,0.0000,"-61,682,302.9487",0.0000,"-61,682,302.9487",0.0000,"-61,682,302.9487",0.0000,"-61,682,302.9487",0.0000,"-61,682,302.9487",0.0000,"-61,682,302.9487",0.0000,"-61,682,302.9487",-0.0000,-0.0000
4,"2,379,451.8077","-46,652,480.8750","2,379,451.8077","-46,652,480.8750","2,379,451.8077","-46,652,480.8750","3,172,602.4103","-46,652,480.8750","3,172,602.4103","-46,652,480.8750","3,172,602.4103","-46,652,480.8750","3,172,602.4103","-46,652,480.8750",-0.0510,-0.0510
5,"184,117.7101","-33,237,093.0769","184,117.7101","-33,237,093.0769","205,125.5390","-33,237,093.0769","273,500.7187","-33,237,093.0769","273,500.7187","-33,237,093.0769","273,500.7187","-33,237,093.0769","273,500.7187","-33,237,093.0769",-0.0055,-0.0055
6,"162,825.6586","-25,538,009.1500","162,825.6586","-25,538,009.1500","162,825.6586","-25,538,009.1500","217,100.8781","-25,538,009.1500","217,100.8781","-25,538,009.1500","217,100.8781","-25,538,009.1500","217,100.8781","-25,538,009.1500",-0.0064,-0.0064
7,"1,409,033.6092","-20,912,991.5641","1,409,033.6092","-20,912,991.5641","1,409,033.6092","-20,912,991.5641","1,878,711.4789","-20,912,991.5641","1,878,711.4789","-20,912,991.5641","1,878,711.4789","-20,912,991.5641","1,878,711.4789","-20,912,991.5641",-0.0674,-0.0674
8,"421,956.9908","-16,637,188.5250","421,956.9908","-16,637,188.5250","421,956.9908","-16,637,188.5250","562,609.3211","-16,637,188.5250","562,609.3211","-16,637,188.5250","562,609.3211","-16,637,188.5250","562,609.3211","-16,637,188.5250",-0.0254,-0.0254
9,"614,070.0161","-12,421,648.0256","614,070.0161","-12,421,648.0256","614,070.0144","-12,421,648.0256","818,760.0192","-12,421,648.0256","818,760.0192","-12,421,648.0256","818,760.0192","-12,421,648.0256","818,760.0192","-12,421,648.0256",-0.0494,-0.0494
10,"295,279.1752","-9,726,589.4872","295,279.1752","-9,726,589.4872","300,816.7079","-9,726,589.4872","390,030.2967","-9,726,589.4872","390,030.2967","-9,726,589.4872","390,030.2967","-9,726,589.4872","390,030.2967","-9,726,589.4872",-0.0304,-0.0304
11,"696,017.5077","-7,565,370.5250","696,017.5077","-7,565,370.5250","734,756.9256","-7,565,370.5250","973,807.1583","-7,565,370.5250","973,807.1583","-7,565,370.5250","973,807.1583","-7,565,370.5250","973,807.1583","-7,565,370.5250",-0.0920,-0.0920
12,"78,825.9369","-5,803,750.1538","78,825.9369","-5,803,750.1538","78,825.9369","-5,803,750.1538","105,101.2492","-5,803,750.1538","105,101.2492","-5,803,750.1538","105,101.2492","-5,803,750.1538","105,101.2492","-5,803,750.1538",-0.0136,-0.0136
13,"338,910.6858","-4,593,266.0250","338,910.6858","-4,593,266.0250","338,910.6858","-4,593,266.0250","451,177.3412","-4,593,266.0250","451,177.3412","-4,593,266.0250","451,177.3412","-4,593,266.0250","451,177.3412","-4,593,266.0250",-0.0738,-0.0738
14,0.0000,"-3,553,835.0769",0.0000,"-3,553,835.0769",0.0000,"-3,553,835.0769",0.0000,"-3,553,835.0769",0.0000,"-3,553,835.0769",0.0000,"-3,553,835.0769",0.0000,"-3,553,835.0769",-0.0000,-0.0000
15,"99,221.6477","-2,689,292.9000","99,221.6477","-2,689,292.9000","99,221.6500","-2,689,292.9000","132,295.5334","-2,689,292.9000","132,295.5334","-2,689,292.9000","132,295.5334","-2,689,292.9000","132,295.5334","-2,689,292.9000",-0.0369,-0.0369
16,"140,980.4167","-1,851,723.2051","140,980.4167","-1,851,723.2051","140,980.4167","-1,851,723.2051","187,716.9735","-1,851,723.2051","187,716.9735","-1,851,723.2051","187,716.9735","-1,851,723.2051","187,716.9735","-1,851,723.2051",-0.0761,-0.0761
17,"449,350.7640","-1,392,660.0000","449,350.7640","-1,392,660.0000","449,350.7640","-1,392,660.0000","599,134.3520","-1,392,660.0000","599,134.3520","-1,392,660.0000","599,134.3520","-1,392,660.0000","599,134.3520","-1,392,660.0000",-0.3227,-0.3227
18,"39,465.6528","-1,071,178.1282","39,465.6528","-1,071,178.1282","39,465.6528","-1,071,178.1282","52,620.8704","-1,071,178.1282","52,620.8704","-1,071,178.1282","52,620.8704","-1,071,178.1282","52,620.8704","-1,071,178.1282",-0.0368,-0.0368
19,"90,921.2432","-758,468.4872","90,921.2432","-758,468.4872","90,921.2432","-758,468.4872","121,228.3242","-758,468.4872","121,228.3242","-758,468.4872","121,228.3242","-758,468.4872","121,228.3242","-758,468.4872",-0.1199,-0.1199
20,"37,006.6328","-528,435.6000","37,006.6328","-528,435.6000","37,006.6328","-528,435.6000","49,342.1771","-528,435.6000","49,342.1771","-528,435.6000","49,342.1771","-528,435.6000","49,342.1771","-528,435.6000",-0.0700,-0.0700
21,"1,574.7202","-390,006.4359","1,574.7202","-390,006.4359","1,574.7202","-390,006.4359","1,574.7202","-390,006.4359","1,574.7202","-390,006.4359","1,574.7202","-390,006.4359","1,574.7202","-390,006.4359",-0.0040,-0.0040
22,"6,892.1124","-273,046.1250","6,892.1124","-273,046.1250","6,892.1124","-273,046.1250","8,145.2509","-273,046.1250","8,145.2509","-273,046.1250","8,145.2509","-273,046.1250","8,145.2509","-273,046.1250",-0.0252,-0.0252
23,180.2143,"-187,516.3846",180.2143,"-187,516.3846",180.2143,"-187,516.3846",240.2858,"-187,516.3846",240.2858,"-187,516.3846",240.2858,"-187,516.3846",240.2858,"-187,516.3846",-0.0010,-0.0010
24,536.3156,"-140,311.9000",536.3156,"-140,311.9000",536.3156,"-140,311.9000",715.0875,"-140,311.9000",715.0875,"-140,311.9000",715.0875,"-140,311.9000",715.0875,"-140,311.9000",-0.0038,-0.0038
